subject,session,run,task,vif
sub-s1314,ses-11,run-1,stopSignalWFlanker,6.380934409279735
sub-s1314,ses-12,run-1,spatialTSWCuedTS,8.206851140771883
sub-s1314,ses-12,run-1,stopSignalWDirectedForgetting,11.411785262466225
sub-s1314,ses-12,run-1,stopSignalWFlanker,4.435585016308715
sub-s1326,ses-11,run-1,spatialTSWCuedTS,10.32977424120418
sub-s1326,ses-11,run-1,stopSignalWDirectedForgetting,11.008010477888456
sub-s1326,ses-11,run-1,stopSignalWFlanker,5.34850111353482
sub-s1326,ses-12,run-1,spatialTSWCuedTS,8.901091638950103
sub-s1326,ses-12,run-1,stopSignalWDirectedForgetting,11.75263549717236
sub-s1326,ses-12,run-1,stopSignalWFlanker,4.617552965919894
sub-s1338,ses-11,run-1,spatialTSWCuedTS,21.968703460761656
sub-s1338,ses-11,run-1,stopSignalWDirectedForgetting,11.382251536325295
sub-s1338,ses-11,run-1,stopSignalWFlanker,4.576797743727773
sub-s1338,ses-12,run-1,spatialTSWCuedTS,5.979054540238828
sub-s1338,ses-12,run-1,stopSignalWDirectedForgetting,12.309201557988958
sub-s1338,ses-12,run-1,stopSignalWFlanker,4.804893775465242
sub-s1351,ses-11,run-1,flankerWShapeMatching,36.55427657780382
sub-s1351,ses-11,run-1,stopSignalWDirectedForgetting,10.096084103114594
sub-s1351,ses-11,run-1,stopSignalWFlanker,4.7024452207283804
sub-s1351,ses-12,run-1,flankerWShapeMatching,33.98890296495687
sub-s1351,ses-12,run-1,stopSignalWDirectedForgetting,9.571847593929382
sub-s1351,ses-12,run-1,stopSignalWFlanker,4.4079510253855245
sub-s1391,ses-11,run-1,spatialTSWCuedTS,8.76441428121097
sub-s1391,ses-11,run-1,stopSignalWDirectedForgetting,8.948382459849855
sub-s1391,ses-11,run-1,stopSignalWFlanker,5.625592382549435
sub-s1391,ses-12,run-1,spatialTSWCuedTS,5.366834549903294
sub-s1391,ses-12,run-1,stopSignalWDirectedForgetting,9.587732663709437
sub-s1391,ses-12,run-1,stopSignalWFlanker,4.696966078533462
sub-s1399,ses-11,run-1,spatialTSWCuedTS,7.353787398580715
sub-s1399,ses-11,run-1,stopSignalWDirectedForgetting,13.444078876132844
sub-s1399,ses-11,run-1,stopSignalWFlanker,5.100915174147747
sub-s1399,ses-12,run-1,spatialTSWCuedTS,4.634417781451297
sub-s1399,ses-12,run-1,stopSignalWDirectedForgetting,10.7156215230325
sub-s1399,ses-12,run-1,stopSignalWFlanker,5.171073955257195
sub-s1402,ses-11,run-1,stopSignalWDirectedForgetting,10.269296421607043
sub-s1402,ses-11,run-1,stopSignalWFlanker,5.447110212058777
sub-s1402,ses-12,run-1,stopSignalWDirectedForgetting,11.241825692443724
sub-s1402,ses-12,run-1,stopSignalWFlanker,6.229987774333623
sub-s1408,ses-11,run-1,spatialTSWCuedTS,6.23651364690906
sub-s1408,ses-11,run-1,stopSignalWDirectedForgetting,12.285617108506946
sub-s1408,ses-11,run-1,stopSignalWFlanker,5.546326792595297
sub-s1408,ses-12,run-1,spatialTSWCuedTS,7.138430587975637
sub-s1408,ses-12,run-1,stopSignalWDirectedForgetting,11.152062138592772
sub-s1408,ses-12,run-1,stopSignalWFlanker,4.513691991796488
sub-s1445,ses-11,run-1,spatialTSWCuedTS,11.001131629704814
sub-s1445,ses-11,run-1,stopSignalWDirectedForgetting,6.818025414223781
sub-s1445,ses-11,run-1,stopSignalWFlanker,7.51503999962329
sub-s1445,ses-12,run-1,spatialTSWCuedTS,11.06275730041385
sub-s1445,ses-12,run-1,stopSignalWDirectedForgetting,13.670132836199222
sub-s1445,ses-12,run-1,stopSignalWFlanker,4.732248292147214
sub-s1481,ses-11,run-1,spatialTSWCuedTS,11.869919966421406
sub-s1481,ses-11,run-1,stopSignalWDirectedForgetting,12.649096157368604
sub-s1481,ses-11,run-1,stopSignalWFlanker,5.50958501302814
sub-s1481,ses-12,run-1,spatialTSWCuedTS,17.459921485919377
sub-s1481,ses-12,run-1,stopSignalWDirectedForgetting,9.8548975433214
sub-s1481,ses-12,run-1,stopSignalWFlanker,6.7999111036054405
sub-s1486,ses-11,run-1,spatialTSWCuedTS,8.246960405484817
