subject,session,run,task,vif,performance_feedback_breaks,regular_breaks,expected_breaks
sub-s1314,ses-11,run-1,stopSignalWDirectedForgetting,9.597410418159638,0,3,0
sub-s1314,ses-12,run-1,stopSignalWDirectedForgetting,11.411785262466225,0,3,0
sub-s1326,ses-11,run-1,stopSignalWDirectedForgetting,11.008010477888456,0,3,0
sub-s1326,ses-12,run-1,stopSignalWDirectedForgetting,11.75263549717236,0,3,0
sub-s1338,ses-11,run-1,stopSignalWDirectedForgetting,11.382251536325295,0,3,0
sub-s1338,ses-12,run-1,stopSignalWDirectedForgetting,12.309201557988958,1,2,1
sub-s1351,ses-11,run-1,stopSignalWDirectedForgetting,10.096084103114594,0,3,0
sub-s1351,ses-12,run-1,stopSignalWDirectedForgetting,9.571847593929382,0,3,0
sub-s1391,ses-11,run-1,stopSignalWDirectedForgetting,8.948382459849855,0,3,0
sub-s1391,ses-12,run-1,stopSignalWDirectedForgetting,9.587732663709437,0,3,0
sub-s1399,ses-11,run-1,stopSignalWDirectedForgetting,13.444078876132844,0,3,0
sub-s1399,ses-12,run-1,stopSignalWDirectedForgetting,10.7156215230325,0,3,0
sub-s1402,ses-11,run-1,stopSignalWDirectedForgetting,10.269296421607043,0,3,0
sub-s1402,ses-12,run-1,stopSignalWDirectedForgetting,11.241825692443724,0,3,0
sub-s1408,ses-11,run-1,stopSignalWDirectedForgetting,12.285617108506946,0,3,0
sub-s1408,ses-12,run-1,stopSignalWDirectedForgetting,11.152062138592772,0,3,0
sub-s1445,ses-11,run-1,stopSignalWDirectedForgetting,6.818025414223781,3,0,3
sub-s1445,ses-12,run-1,stopSignalWDirectedForgetting,13.670132836199222,3,0,3
sub-s1481,ses-11,run-1,stopSignalWDirectedForgetting,12.649096157368604,2,1,2
sub-s1481,ses-12,run-1,stopSignalWDirectedForgetting,9.8548975433214,0,3,0
sub-s1486,ses-11,run-1,stopSignalWDirectedForgetting,10.285667417786286,0,3,0
sub-s1486,ses-12,run-1,stopSignalWDirectedForgetting,12.493924433102098,0,3,0
